"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"SLC17A4","Slc17a4",0,0,0,0,0,0,0,0,0,1
"SLC17A5","Slc17a5",14.219056,11.00817,15.154985,1315,256,540,13.460737,16.15132,16.15132,0.843126768085489
"SLC17A6","Slc17a6",71.384258,63.802389,69.445687,11249,2558,4349,68.210778,21.91144,21.91144,3.02079563746321
"SLC17A7","Slc17a7",49.582832,49.635011,54.79937,5827,1346,2525,51.339071,52.03967,52.03967,0.986791037727045
"SLC17A8","Slc17a8",5.438645,5.562174,4.59225,930,252,316,5.19768966666667,0.06272,0.06272,5.83191213740841
"SLC17A9","Slc17a9",0.135559,0.247515,0.427141,8,3,8,0.270071666666667,4.27566,4.27566,0.240741758693067
"SLC18A1","Slc18a1",1.54571,2.628305,4.074157,125,31,53,2.74939066666667,0.06272,0.06272,3.52810774867008
"SLC18A2","Slc18a2",2.197384,1.912155,2.221227,337,73,133,2.11025533333333,11.35297,11.35297,0.251781987111871
"SLC18A3","Slc18a3",0.010151,0,0.025263,1,0,1,0.0118046666666667,2.73893,2.73893,0.270613428619061
"SLC18B1","Slc18b1",32.443213,24.354032,46.97583,409,79,144,34.591025,5.82284,5.82284,5.21645311922894
"SLC19A1","Slc19a1",19.835792,19.703359,24.248387,974,231,376,21.2625126666667,56.71257,56.71257,0.385748073022336
"SLC19A2","Slc19a2",6.26747,7.385742,6.645827,819,206,323,6.76634633333333,4.21293,4.21293,1.48982363725071
"SLC19A3","Slc19a3",0.500271,0.306071,0.458872,60,9,19,0.421738,0.60633,0.60633,0.885084633917066
"SLC1A1","Slc1a1",1.434785,1.338619,1.483756,196,50,79,1.41905333333333,3.4707,3.4707,0.541090507825024
"SLC1A2","Slc1a2",2.626035,1.46025,0.719172,223,64,110,1.601819,0.21953,0.21953,2.1334604314777
"SLC1A3","Slc1a3",2.988604,4.086636,5.146331,494,139,224,4.073857,14.12326,14.12326,0.335500216223222
"SLC1A4","Slc1a4",15.863138,14.319467,15.175879,2571,562,979,15.1194946666667,67.15605,67.15605,0.236508639609641
"SLC1A5","Slc1a5",24.788374,20.249047,28.819672,1070,240,526,24.619031,70.15633,70.15633,0.360038678217384
"SLC1A6","Slc1a6",3.016145,2.290678,2.708111,240,44,86,2.67164466666667,4.2443,4.2443,0.700121020282338
"SLC1A7","Slc1a7",0.041848,0.08634,0,5,0,0,0.0427293333333333,2.08033,2.08033,0.338512215682519
"SLC20A1","Slc20a1",63.946467,55.958728,61.502139,4478,1055,1682,60.4691113333333,28.80058,28.80058,2.06268171066917
"SLC20A2","Slc20a2",8.637564,6.077068,8.043021,674,141,263,7.58588433333333,28.13153,28.13153,0.294728232033585
"SLC22A1","Slc22a1",0.222769,0,0,2,0,0,0.0742563333333333,0.42861,0.42861,0.751959130436812
"SLC22A12","Slc22a12",0.189099,0,0,8,0,0,0.063033,0.01045,0.01045,1.0520391904597
"SLC22A13","Slc22a13",0.226559,0.136728,0.081376,18,3,3,0.148221,0.02091,0.02091,1.12470345084288
"SLC22A15","Slc22a15",3.205255,2.860582,3.392395,492,124,203,3.152744,1.82944,1.82944,1.46769113322778
"SLC22A16","Slc22a16",0.011303,0,0,1,0,0,0.00376766666666667,0.42861,0.42861,0.702618395969975
"SLC22A17","Slc22a17",61.600395,59.612535,61.584516,3956,941,1711,60.932482,151.86425,151.86425,0.405146932654299
"SLC22A18","Slc22a18",7.130025,5.442031,5.755813,380,76,126,6.10928966666667,60.77915,60.77915,0.115075873764315
"SLC22A2","Slc22a2",0.163808,0.432536,0.174239,14,9,6,0.256861,0.11499,0.11499,1.12723970618571
"SLC22A23","Slc22a23",9.110622,8.364001,9.987556,2145,452,895,9.15405966666667,13.1615,13.1615,0.717018653861997
"SLC22A25","Slc22a19",0.027717,0.111031,0,4,4,0,0.0462493333333333,0,0,1.04624933333333
"SLC22A3","Slc22a3",0.303759,0.448766,0.246007,42,15,14,0.332844,23.23909,23.23909,0.0549873778264778
"SLC22A4","Slc22a4",1.71747,1.27262,1.869276,111,26,55,1.61978866666667,3.36617,3.36617,0.600019849585945
"SLC22A5","Slc22a5",6.57563,5.657862,8.28233,643,155,282,6.83860733333333,3.36617,3.36617,1.79530511485658
"SLC22A6","Slc22a6",0.035736,0.09765,0.015239,6,4,1,0.0495416666666667,0.12545,0.12545,0.93255290476402
"SLC22A7","Slc22a7",1.286868,0.933372,0.750541,59,12,18,0.990260333333333,0.04182,0.04182,1.91036871372534
"SLC22A8","Slc22a8",0.243859,0.315225,0.180858,28,11,10,0.246647333333333,0,0,1.24664733333333
"SLC23A1","Slc23a1",0.095368,0.068325,0.104636,12,2,5,0.089443,0.04182,0.04182,1.04571135128909
"SLC23A2","Slc23a2",16.961899,13.548133,22.984123,2543,663,1180,17.831385,12.74334,12.74334,1.37021895696388
"SLC23A3","Slc23a3",0,0,0,0,0,0,0,0.14636,0.14636,0.872326319829722
"SLC24A3","Slc24a3",6.962745,7.134378,6.877128,997,226,418,6.991417,2.08033,2.08033,2.59433794431116
"SLC24A4","Slc24a4",0.488478,0.781058,0.431881,55,19,16,0.567139,4.34884,4.34884,0.292986703659111
"SLC24A5","Slc24a5",2.349212,3.353249,1.161773,56,12,18,2.288078,0.55406,0.55406,2.11579861781398
"SLC25A1","Slc25a1",85.052976,95.733117,102.049575,3416,781,1390,94.278556,188.01394,188.01394,0.504082164521834
"SLC25A10","Slc25a10",11.814507,10.909788,9.975968,737,177,296,10.9000876666667,16.18268,16.18268,0.692562956806893
"SLC25A11","Slc25a11",47.133523,53.004084,49.943806,2689,611,1082,50.0271376666667,112.72473,112.72473,0.448689899432311
